,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-01-19,1178.0,1190.0,1165.2,0.0,put,2016-02-18,6050,AS51,4903.069,2016-01-19,0.4094206512863327,-0.956512732178263,0.00014900915788360896,1.2054441827498985,-1.1200351905901247,-4.81236815773853,AS51 02-18-16 P6050 Index,2015-12-16,-34
2016-01-20,1153.0,1233.0,1209.1,0.0,put,2016-02-18,6050,AS51,4841.526,2016-01-20,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-35
2016-01-21,1118.0,1198.0,1182.2,0.0,put,2016-02-18,6050,AS51,4864.004,2016-01-21,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-36
2016-01-22,1092.0,1172.0,1133.5,0.0,put,2016-02-18,6050,AS51,4915.9529999999995,2016-01-22,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-37
2016-01-25,1026.0,1106.0,1062.6,0.0,put,2016-02-18,6050,AS51,5006.564,2016-01-25,0.4388059875079751,-0.9469243201206752,0.00018332199909317545,1.3258214806732505,-1.5182781317792649,-3.8159587146349465,AS51 02-18-16 P6050 Index,2015-12-16,-40
2016-01-27,1049.0,1129.0,1096.7,0.0,put,2016-02-18,6050,AS51,4946.441,2016-01-27,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-42
2016-01-28,1080.0,1090.0,1085.8,0.0,put,2016-02-18,6050,AS51,4976.164000000001,2016-01-28,0.41888330915478417,-0.9694375865193177,0.00012836189278579864,0.7660285718307972,-1.075391074062472,-3.400205172163578,AS51 02-18-16 P6050 Index,2015-12-16,-43
2016-01-29,1057.0,1137.0,1047.5,0.0,put,2016-02-18,6050,AS51,5005.524,2016-01-29,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-44
2016-02-01,971.0,1034.0,1010.1,0.0,put,2016-02-18,6050,AS51,5043.589,2016-02-01,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-47
2016-02-02,1012.0,1082.0,1067.1,0.0,put,2016-02-18,6050,AS51,4993.322,2016-02-02,0.47243951059533884,-0.9695890191549408,0.0001317417786857803,0.6802616649581663,-1.317926247706237,-2.5900581612294964,AS51 02-18-16 P6050 Index,2015-12-16,-48
