,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-05-16,,1.0,0.3,2096.0,put,2016-05-19,4975,AS51,5358.946,2016-05-16,0.3261864710607542,-0.0058476642009446704,0.00010486730942302707,0.08074083225204227,-0.4412894328604141,-0.002600327398273614,AS51 05-19-16 P4975 Index,2016-03-16,-61
2016-05-17,,1.0,,2096.0,put,2016-05-19,4975,AS51,5395.874,2016-05-17,,,,,,,AS51 05-19-16 P4975 Index,2016-03-16,-62
2016-05-18,,2.0,,2096.0,put,2016-05-19,4975,AS51,5356.161999999999,2016-05-18,,,,,,,AS51 05-19-16 P4975 Index,2016-03-16,-63
2016-05-19,,2.0,,0.0,put,2016-05-19,4975,AS51,5323.342,2016-05-19,,,,,,,AS51 05-19-16 P4975 Index,2016-03-16,-64
2016-02-22,13.0,20.0,14.4,0.0,put,2016-05-19,3950,AS51,5001.224,2016-02-22,0.292530559226805,-0.04620167882725509,0.00013526012256672695,2.358956972548258,-0.41330882299390515,-0.5850808277871485,AS51 05-19-16 P3950 Index,2016-03-16,23
2016-02-23,11.0,18.0,14.3,0.0,put,2016-05-19,3950,AS51,4979.588,2016-02-23,0.2895961402115679,-0.046765364152642444,0.00013937196254651407,2.3580911855740987,-0.4138910095416556,-0.5823784429838644,AS51 05-19-16 P3950 Index,2016-03-16,22
2016-02-24,15.0,22.0,20.1,0.0,put,2016-05-19,3950,AS51,4875.019,2016-02-24,0.2916290031672382,-0.06359092037874224,0.0001812674715551187,2.9256965319692205,-0.5242859085347842,-0.768742200856924,AS51 05-19-16 P3950 Index,2016-03-16,21
2016-02-25,20.0,27.0,21.3,0.0,put,2016-05-19,3950,AS51,4881.1759999999995,2016-02-25,0.29885996336108756,-0.06561692515022846,0.00018208900946784456,2.9839176161223686,-0.5539276018652125,-0.7861197769839913,AS51 05-19-16 P3950 Index,2016-03-16,20
2016-02-26,15.0,22.0,17.9,0.0,put,2016-05-19,3950,AS51,4879.958,2016-02-26,0.2885129193976769,-0.058770499743035685,0.0001741863190587389,2.7214270882337486,-0.4937419098108158,-0.6928739271769062,AS51 05-19-16 P3950 Index,2016-03-16,19
2016-02-29,13.0,19.0,16.5,0.0,put,2016-05-19,3950,AS51,4880.9259999999995,2016-02-29,0.2889653724034789,-0.05566434499306999,0.0001697206520223438,2.560837753417289,-0.48217486292738265,-0.6316570931499068,AS51 05-19-16 P3950 Index,2016-03-16,16
2016-03-01,12.0,19.0,13.9,0.0,put,2016-05-19,3950,AS51,4922.252,2016-03-01,0.28895387985152804,-0.04800186722446563,0.00015057514258162144,2.281622171155438,-0.43440336283566844,-0.5414796073698489,AS51 05-19-16 P3950 Index,2016-03-16,15
2016-03-02,6.0,12.0,8.1,0.0,put,2016-05-19,3950,AS51,5021.23,2016-03-02,0.2806964567993099,-0.03052630264032833,0.00010577197421791035,1.5996667179706023,-0.2989939390415952,-0.3448659658992406,AS51 05-19-16 P3950 Index,2016-03-16,14
2016-03-03,3.0,9.0,5.2,0.0,put,2016-05-19,3950,AS51,5081.12,2016-03-03,0.2727051774737165,-0.021142285789482074,7.962612969943788e-05,1.182675920080096,-0.21727423223453815,-0.2375956115106929,AS51 05-19-16 P3950 Index,2016-03-16,13
2016-03-04,3.0,9.0,5.4,0.0,put,2016-05-19,3950,AS51,5090.025,2016-03-04,0.27784961952674514,-0.021582209785351192,7.990689550820066e-05,1.197718128765332,-0.22695561247230092,-0.2399809051935302,AS51 05-19-16 P3950 Index,2016-03-16,12
2016-03-07,3.0,5.0,4.4,0.0,put,2016-05-19,3950,AS51,5142.814,2016-03-07,0.28404109993154564,-0.01780895337383091,6.706048584748931e-05,1.0075799386731716,-0.2027128827881358,-0.19197626947256968,AS51 05-19-16 P3950 Index,2016-03-16,9
2016-03-08,4.0,8.0,6.1,0.0,put,2016-05-19,3950,AS51,5107.96,2016-03-08,0.29487894708130646,-0.023252324563566386,8.208914428861707e-05,1.2458452566080938,-0.26377661750230624,-0.2463227384108342,AS51 05-19-16 P3950 Index,2016-03-16,8
2016-03-09,2.0,7.0,4.3,0.0,put,2016-05-19,3950,AS51,5157.192,2016-03-09,0.28969901219124744,-0.017312481584283144,6.490214033050259e-05,0.9727430091857733,-0.20497329442261455,-0.18203970406546505,AS51 05-19-16 P3950 Index,2016-03-16,7
2016-03-10,3.0,7.0,5.0,0.0,put,2016-05-19,3950,AS51,5150.073,2016-03-10,0.2974337752737385,-0.019464561758686466,7.044209867791918e-05,1.0657479735891051,-0.2337339285385694,-0.20183764323060424,AS51 05-19-16 P3950 Index,2016-03-16,6
2016-03-11,2.0,7.0,4.3,0.0,put,2016-05-19,3950,AS51,5166.393,2016-03-11,0.2956622052012488,-0.017188236139752285,6.400075710200477e-05,0.9547991595966612,-0.21104812196462927,-0.17599949639338788,AS51 05-19-16 P3950 Index,2016-03-16,5
2016-03-14,2.0,5.0,3.8,0.0,put,2016-05-19,3950,AS51,5185.458,2016-03-14,0.3003976063324334,-0.015438867637746781,5.85395100076417e-05,0.8550093495934091,-0.2004273951904666,-0.1516329200110762,AS51 05-19-16 P3950 Index,2016-03-16,2
2016-03-15,3.0,6.0,4.8,0.0,put,2016-05-19,3950,AS51,5111.424,2016-03-15,0.2997099634088415,-0.019422054634639453,7.296579796859153e-05,1.0174775247992265,-0.2418249391234277,-0.18533789458280758,AS51 05-19-16 P3950 Index,2016-03-16,1
2016-03-16,2.0,7.0,3.0,0.0,put,2016-05-19,3950,AS51,5119.027,2016-03-16,0.282951320263461,-0.013563023663304509,5.7189676633611646e-05,0.7435177067045615,-0.16944599414124709,-0.12699964376389203,AS51 05-19-16 P3950 Index,2016-03-16,0
2016-03-17,1.0,5.0,2.2,0.0,put,2016-05-19,3950,AS51,5168.153,2016-03-17,0.2819659927324557,-0.01029042672679075,4.5091141841331485e-05,0.586146768065374,-0.1350708302182956,-0.09559171191338794,AS51 05-19-16 P3950 Index,2016-03-16,-1
2016-03-18,1.0,3.0,2.1,0.0,put,2016-05-19,3950,AS51,5183.124,2016-03-18,0.28518214990931673,-0.009812254501513264,4.298938383440244e-05,0.5594555442022927,-0.13239781379480556,-0.08995627867550378,AS51 05-19-16 P3950 Index,2016-03-16,-2
2016-03-21,1.0,3.0,1.6,0.0,put,2016-05-19,3950,AS51,5166.568,2016-03-21,0.2796110666422591,-0.008027117368776938,3.781861539187498e-05,0.45627158933353285,-0.1111653847820997,-0.0696242798919523,AS51 05-19-16 P3950 Index,2016-03-16,-5
2016-03-22,1.0,2.0,1.3,0.0,put,2016-05-19,3950,AS51,5166.623,2016-03-22,0.2749710926374852,-0.006810560268881669,3.355819191865118e-05,0.3914121186184318,-0.09537070358646461,-0.057980291644636486,AS51 05-19-16 P3950 Index,2016-03-16,-6
2016-03-23,1.0,2.0,1.3,0.0,put,2016-05-19,3950,AS51,5142.266,2016-03-23,0.2731495543903424,-0.006938987965806313,3.480838871641508e-05,0.3926227712203724,-0.09670037922888342,-0.057752902679056764,AS51 05-19-16 P3950 Index,2016-03-16,-7
2016-03-24,1.0,2.0,1.5,0.0,put,2016-05-19,3950,AS51,5084.207,2016-03-24,0.2699502066574717,-0.008136237209515958,4.134847557056696e-05,0.4426747778278942,-0.10974128279784703,-0.06576749571944562,AS51 05-19-16 P3950 Index,2016-03-16,-8
2016-03-29,1.0,4.0,2.2,2.0,put,2016-05-19,3950,AS51,5004.516,2016-03-29,0.28157299337383396,-0.011704036243051927,5.7977925789205806e-05,0.5712880603816111,-0.1620127430850756,-0.08491574982985188,AS51 05-19-16 P3950 Index,2016-03-16,-13
2016-03-30,1.0,3.0,1.8,2.0,put,2016-05-19,3950,AS51,5010.268,2016-03-30,0.27806141351073027,-0.009967915648625418,5.1503083350210724e-05,0.49246232349857805,-0.14061121646327998,-0.0708793545219277,AS51 05-19-16 P3950 Index,2016-03-16,-14
2016-03-31,1.0,3.0,1.2,2.0,put,2016-05-19,3950,AS51,5082.785,2016-03-31,0.2810057076400408,-0.0068173501746554566,3.6352136583400575e-05,0.3542841941257484,-0.10414080031053173,-0.04812890781278964,AS51 05-19-16 P3950 Index,2016-03-16,-15
2016-04-01,1.0,4.0,2.2,2.0,put,2016-05-19,3950,AS51,4999.385,2016-04-01,0.2893876825274965,-0.011747238829660087,5.8397377679772754e-05,0.5554627323479576,-0.17176104847492088,-0.08012576823638823,AS51 05-19-16 P3950 Index,2016-03-16,-16
2016-04-04,1.0,4.0,1.9,2.0,put,2016-05-19,3950,AS51,4995.319,2016-04-04,0.29238583121225237,-0.010517745300231718,5.4270175596546385e-05,0.48816164539328477,-0.1624579684503955,-0.06711718307105122,AS51 05-19-16 P3950 Index,2016-03-16,-19
2016-04-05,1.0,4.0,2.7,2.0,put,2016-05-19,3950,AS51,4924.385,2016-04-05,0.29423327487942785,-0.014664445657202776,7.377305808722511e-05,0.634531787806827,-0.2174707885222815,-0.09030653572647554,AS51 05-19-16 P3950 Index,2016-03-16,-20
2016-04-06,1.0,4.0,2.3,2.0,put,2016-05-19,3950,AS51,4945.912,2016-04-06,0.29593440589055753,-0.012723205944420024,6.535820630184325e-05,0.5573961258075865,-0.1964363209777847,-0.0768437766913991,AS51 05-19-16 P3950 Index,2016-03-16,-21
2016-04-07,1.0,4.0,1.8,2.0,put,2016-05-19,3950,AS51,4964.079000000001,2016-04-07,0.2937708865823402,-0.010357991257431943,5.551921167035044e-05,0.4624724213127999,-0.16552685523667993,-0.061237020523135934,AS51 05-19-16 P3950 Index,2016-03-16,-22
2016-04-08,1.0,4.0,2.2,2.0,put,2016-05-19,3950,AS51,4937.617,2016-04-08,0.29943873575330965,-0.012382335730392817,6.472396356720858e-05,0.5307608449476666,-0.19831840879908202,-0.07114817773933957,AS51 05-19-16 P3950 Index,2016-03-16,-23
2016-04-11,1.0,4.0,2.0,2.0,put,2016-05-19,3950,AS51,4931.532,2016-04-11,0.30579534933722413,-0.011561047215205822,6.210896696375674e-05,0.48088322251482873,-0.19768894068070647,-0.06143889378688597,AS51 05-19-16 P3950 Index,2016-03-16,-26
2016-04-12,1.0,3.0,1.6,2.0,put,2016-05-19,3950,AS51,4975.646,2016-04-12,0.3113524905891703,-0.009341709685375968,5.0884392983514256e-05,0.3975985118433659,-0.17071350943143968,-0.04873968481864327,AS51 05-19-16 P3950 Index,2016-03-16,-27
2016-04-13,1.0,2.0,1.1,2.0,put,2016-05-19,3950,AS51,5054.655,2016-04-13,0.3192429457414484,-0.006491926300407088,3.595730783339274e-05,0.2892685051048138,-0.13067920623398505,-0.0334498662581762,AS51 05-19-16 P3950 Index,2016-03-16,-28
2016-04-14,,3.0,0.9,2.0,put,2016-05-19,3950,AS51,5118.622,2016-04-14,0.33050297654360006,-0.005245035205857133,2.8789465719394505e-05,0.2390508422422115,-0.11484675921042814,-0.026607050434016965,AS51 05-19-16 P3950 Index,2016-03-16,-29
2016-04-15,,2.0,0.2,2.0,put,2016-05-19,3950,AS51,5157.486,2016-04-15,0.29568198603533785,-0.0014710669276053585,1.0295785028386222e-05,0.07543041564460828,-0.03336117464100491,-0.007253650434585741,AS51 05-19-16 P3950 Index,2016-03-16,-30
2016-04-18,,3.0,0.2,2.0,put,2016-05-19,3950,AS51,5137.055,2016-04-18,0.3057091268824916,-0.0014946425776480982,1.0623616067036635e-05,0.07279105807320949,-0.03646065438480577,-0.006690956025433467,AS51 05-19-16 P3950 Index,2016-03-16,-33
2016-04-19,,2.0,0.1,2.0,put,2016-05-19,3950,AS51,5188.813,2016-04-19,0.30313350463906913,-0.0007958148387730852,6.051146223724232e-06,0.040591585702573096,-0.02081410243510192,-0.0034761652446728955,AS51 05-19-16 P3950 Index,2016-03-16,-34
